Design Signal Pad Name,Ball Name,Selected Mode Number,Mode Interface Name,Mode Signal Name,User Requirement Name
GPIO143,F18,14,ECAT,ESC_LED_LINK0_ACTIVE,MyECAT1
GPIO144,F17,14,ECAT,ESC_LED_LINK1_ACTIVE,MyECAT1
GPIO146,D18,14,ECAT,ESC_LED_RUN,MyECAT1
GPIO145,E17,14,ECAT,ESC_LED_ERR,MyECAT1
GPIO147,D17,14,ECAT,ESC_LED_STATE_RUN,MyECAT1
GPIO150,B13,14,ECAT,ESC_I2C_SDA,MyECAT1
GPIO151,C13,14,ECAT,ESC_I2C_SCL,MyECAT1
GPIO135,U18,14,ECAT,ESC_TX1_DATA3,MyECAT1
GPIO134,V18,14,ECAT,ESC_TX1_DATA2,MyECAT1
GPIO132,W18,14,ECAT,ESC_TX1_DATA1,MyECAT1
GPIO131,V10,14,ECAT,ESC_TX1_DATA0,MyECAT1
GPIO29,W11,14,ECAT,ESC_SYNC0,MyECAT1
GPIO30,T11,14,ECAT,ESC_SYNC1,MyECAT1
GPIO152,D13,14,ECAT,ESC_MDIO_CLK,MyECAT1
GPIO153,A12,14,ECAT,ESC_MDIO_DATA,MyECAT1
GPIO129,T10,14,ECAT,ESC_TX1_ENA,MyECAT1
GPIO137,T18,14,ECAT,ESC_RX1_CLK,MyECAT1
GPIO136,T17,14,ECAT,ESC_RX1_DV,MyECAT1
GPIO138,T19,14,ECAT,ESC_RX1_ERR,MyECAT1
GPIO139,N19,14,ECAT,ESC_RX1_DATA0,MyECAT1
GPIO140,M19,14,ECAT,ESC_RX1_DATA1,MyECAT1
GPIO141,M18,14,ECAT,ESC_RX1_DATA2,MyECAT1
GPIO142,L19,14,ECAT,ESC_RX1_DATA3,MyECAT1
GPIO155,C12,14,ECAT,ESC_PHY_RESETn,MyECAT1
GPIO163,A8,14,ECAT,ESC_RX0_CLK,MyECAT1
GPIO162,D9,14,ECAT,ESC_RX0_DV,MyECAT1
GPIO164,B8,14,ECAT,ESC_RX0_ERR,MyECAT1
GPIO165,C5,14,ECAT,ESC_RX0_DATA0,MyECAT1
GPIO166,D5,14,ECAT,ESC_RX0_DATA1,MyECAT1
GPIO167,C4,14,ECAT,ESC_RX0_DATA2,MyECAT1
GPIO168,D4,14,ECAT,ESC_RX0_DATA3,MyECAT1
GPIO157,B10,14,ECAT,ESC_TX0_CLK,MyECAT1
GPIO158,C10,14,ECAT,ESC_TX0_DATA0,MyECAT1
GPIO159,D10,14,ECAT,ESC_TX0_DATA1,MyECAT1
GPIO160,B9,14,ECAT,ESC_TX0_DATA2,MyECAT1
GPIO161,C9,14,ECAT,ESC_TX0_DATA3,MyECAT1
GPIO156,D12,14,ECAT,ESC_TX0_ENA,MyECAT1
GPIO130,U10,14,ECAT,ESC_TX1_CLK,MyECAT1
GPIO125,T9,14,ECAT,ESC_LATCH0,MyECAT1
GPIO126,U9,14,ECAT,ESC_LATCH1,MyECAT1
GPIO148,D14,14,ECAT,ESC_PHY0_LINKSTATUS,MyECAT1
GPIO149,A13,14,ECAT,ESC_PHY1_LINKSTATUS,MyECAT1
GPIO0,C8,1,EPWM1,EPWM1A,HRPWM1
GPIO1,D8,1,EPWM1,EPWM1B,HRPWM1
GPIO2,A7,1,EPWM2,EPWM2A,HRPWM2
GPIO3,B7,1,EPWM2,EPWM2B,HRPWM2
GPIO4,C7,1,EPWM3,EPWM3A,HRPWM3
GPIO5,D7,1,EPWM3,EPWM3B,HRPWM3
GPIO6,A6,1,EPWM4,EPWM4A,HRPWM4
GPIO7,B6,1,EPWM4,EPWM4B,HRPWM4
GPIO8,G2,1,EPWM5,EPWM5A,HRPWM5
GPIO9,G3,1,EPWM5,EPWM5B,HRPWM5
GPIO10,B2,1,EPWM6,EPWM6A,HRPWM6
GPIO11,C1,1,EPWM6,EPWM6B,HRPWM6
GPIO12,C2,1,EPWM7,EPWM7A,HRPWM7
GPIO13,D1,1,EPWM7,EPWM7B,HRPWM7
GPIO14,D2,1,EPWM8,EPWM8A,HRPWM8
GPIO15,D3,1,EPWM8,EPWM8B,HRPWM8
GPIO16,E1,5,EPWM9,EPWM9A,EPWM9
GPIO17,E2,5,EPWM9,EPWM9B,EPWM9
GPIO18,E3,5,EPWM10,EPWM10A,EPWM10
GPIO19,E4,5,EPWM10,EPWM10B,EPWM10
GPIO20,F2,5,EPWM11,EPWM11A,EPWM11
GPIO21,F3,5,EPWM11,EPWM11B,EPWM11
GPIO22,J4,5,EPWM12,EPWM12A,EPWM12
GPIO23,K4,5,EPWM12,EPWM12B,EPWM12
GPIO154,B12,0,GPIO154,GPIO154,Buffer_Out_In
GPIO107,L3,0,GPIO107,GPIO107,Buffer_Out_In
GPIO120,U15,0,GPIO120,GPIO120,Buffer_Out_In
GPIO121,W16,0,GPIO121,GPIO121,Buffer_Out_In
